id_user,no_str,wilayah_kerja,created_at,updated_at
246540,STR-BCA39EAEFC,142,2024-11-17 11:36:28,2024-11-17 11:36:28
244521,STR-1B38EB5D4C,85,2025-08-18 20:23:46,2025-08-18 20:23:46
247446,STR-0908D5C131,66,2026-03-27 17:34:28,2026-03-27 17:34:28
214853,STR-84F14CCCBA,22,2025-01-09 18:41:58,2025-01-09 18:41:58
236988,STR-8719E358F6,79,2025-08-08 16:24:55,2025-08-08 16:24:55
227433,STR-D55C1BC3A4,34,2025-03-24 21:21:38,2025-03-24 21:21:38
208932,STR-C5FF946764,224,2025-04-24 01:45:47,2025-04-24 01:45:47
219690,STR-26483C8C1A,15,2026-03-01 11:57:33,2026-03-01 11:57:33
220659,STR-A36ED9A910,136,2025-07-27 15:16:57,2025-07-27 15:16:57
228596,STR-C3D32B51F7,148,2025-06-27 04:05:05,2025-06-27 04:05:05
222575,STR-66E000C24D,79,2024-08-22 12:41:01,2024-08-22 12:41:01
225150,STR-97F5DDB527,186,2025-10-04 08:18:17,2025-10-04 08:18:17
213613,STR-87B089B064,98,2024-08-18 15:09:15,2024-08-18 15:09:15
236653,STR-CBBE583B33,180,2025-09-05 02:18:21,2025-09-05 02:18:21
200324,STR-C687BA21C7,224,2025-01-20 21:55:51,2025-01-20 21:55:51
201764,STR-780411BD14,142,2025-01-26 05:20:36,2025-01-26 05:20:36
233018,STR-CA98EA6EFD,34,2025-01-10 10:20:10,2025-01-10 10:20:10
203955,STR-B5F52C6E85,41,2026-02-26 10:11:47,2026-02-26 10:11:47
248494,STR-D9E51D2C5B,129,2025-11-04 19:23:05,2025-11-04 19:23:05
237338,STR-4B31E30793,186,2025-11-10 02:28:18,2025-11-10 02:28:18
225838,STR-079D7635C7,186,2025-04-29 09:10:01,2025-04-29 09:10:01
205794,STR-77CBA12956,34,2026-03-08 16:00:05,2026-03-08 16:00:05
218618,STR-7B7675458F,199,2024-12-27 00:14:08,2024-12-27 00:14:08
244085,STR-3C56A8640E,85,2025-08-17 09:15:31,2025-08-17 09:15:31
207738,STR-1576412FDB,117,2025-11-16 17:19:44,2025-11-16 17:19:44
232605,STR-4BE2626A0C,47,2026-04-17 10:13:24,2026-04-17 10:13:24
246169,STR-7B649FEF3A,98,2025-12-23 12:47:25,2025-12-23 12:47:25
206690,STR-896294257B,218,2025-01-28 09:23:03,2025-01-28 09:23:03
239522,STR-BA08364FF2,212,2025-09-13 18:58:13,2025-09-13 18:58:13
210100,STR-96805BC82A,104,2024-12-25 01:03:02,2024-12-25 01:03:02
228198,STR-2581FE6A0C,104,2025-03-06 13:18:23,2025-03-06 13:18:23
235510,STR-2ED4755CF4,212,2025-02-14 22:41:46,2025-02-14 22:41:46
204654,STR-E9BCC8C5B2,60,2025-02-11 22:13:35,2025-02-11 22:13:35
247640,STR-33F20FFCD2,53,2025-10-02 16:13:57,2025-10-02 16:13:57
205465,STR-DBCB70E86C,3,2025-11-09 18:23:40,2025-11-09 18:23:40
228580,STR-599333CECD,79,2025-12-19 11:33:43,2025-12-19 11:33:43
225415,STR-6C1839BD6A,129,2025-11-28 21:31:01,2025-11-28 21:31:01
226294,STR-C45A177BB0,28,2024-06-23 01:50:24,2024-06-23 01:50:24
211488,STR-DB84F3A75C,136,2025-05-01 14:53:26,2025-05-01 14:53:26
228770,STR-06C4D15079,117,2025-03-15 05:13:20,2025-03-15 05:13:20
238998,STR-8D7AF7A722,47,2024-09-04 03:54:30,2024-09-04 03:54:30
225269,STR-3FCA9E625B,218,2024-12-05 15:55:33,2024-12-05 15:55:33
241411,STR-F935598E4C,53,2025-03-24 16:19:13,2025-03-24 16:19:13
201819,STR-780BF07055,218,2025-03-29 02:22:09,2025-03-29 02:22:09
236712,STR-121815D259,110,2025-07-01 10:33:30,2025-07-01 10:33:30
239309,STR-410FFF79D0,136,2025-06-14 12:33:23,2025-06-14 12:33:23
234344,STR-83CB5F2D7F,212,2024-10-13 21:46:52,2024-10-13 21:46:52
234547,STR-BAEBA043C1,28,2026-01-17 18:51:12,2026-01-17 18:51:12
214558,STR-2891597034,136,2025-12-23 15:59:33,2025-12-23 15:59:33
219132,STR-2D10A6063F,41,2025-10-17 15:21:58,2025-10-17 15:21:58
